Loading weights:   0%|          | 0/393 [00:00<?, ?it/s]Loading weights: 100%|██████████| 393/393 [00:00<00:00, 4257.16it/s]
Loading data from /data2/Medical/ColonMoE/TextMining/ViHERMES/dataset/dataset.jsonl...
Indexing 1550 blocks for BM25...
Embedding 1550 unique context blocks (Dense Strategy)...
 -> Embedded 16/1550
 -> Embedded 416/1550
 -> Embedded 816/1550
 -> Embedded 1216/1550
Starting execution for 1561 samples (Method: hybrid)...
[HYBRID] Sample 77/1561 | F1: 0.41 | J: 0 | Rec: 0
[HYBRID] Sample 78/1561 | F1: 0.47 | J: 1 | Rec: 0
[HYBRID] Sample 79/1561 | F1: 0.38 | J: 1 | Rec: 1
[HYBRID] Sample 80/1561 | F1: 1.00 | J: 1 | Rec: 1
[HYBRID] Sample 81/1561 | F1: 0.82 | J: 1 | Rec: 1
[HYBRID] Sample 82/1561 | F1: 0.51 | J: 1 | Rec: 0
[HYBRID] Sample 83/1561 | F1: 0.42 | J: 1 | Rec: 1
[HYBRID] Sample 84/1561 | F1: 0.36 | J: 1 | Rec: 1
[HYBRID] Sample 85/1561 | F1: 0.51 | J: 1 | Rec: 1
[HYBRID] Sample 86/1561 | F1: 0.50 | J: 1 | Rec: 1
[HYBRID] Sample 87/1561 | F1: 0.68 | J: 1 | Rec: 1
[HYBRID] Sample 88/1561 | F1: 0.18 | J: 0 | Rec: 0
[HYBRID] Sample 89/1561 | F1: 0.20 | J: 1 | Rec: 1
[HYBRID] Sample 90/1561 | F1: 0.50 | J: 1 | Rec: 0
[HYBRID] Sample 91/1561 | F1: 0.77 | J: 1 | Rec: 1
[HYBRID] Sample 92/1561 | F1: 0.37 | J: 1 | Rec: 1
[HYBRID] Sample 93/1561 | F1: 0.37 | J: 1 | Rec: 1
[HYBRID] Sample 94/1561 | F1: 0.89 | J: 1 | Rec: 0
[HYBRID] Sample 95/1561 | F1: 0.50 | J: 1 | Rec: 1
[HYBRID] Sample 96/1561 | F1: 0.39 | J: 1 | Rec: 1
[HYBRID] Sample 97/1561 | F1: 0.56 | J: 1 | Rec: 1
[HYBRID] Sample 98/1561 | F1: 0.36 | J: 1 | Rec: 1
[HYBRID] Sample 99/1561 | F1: 0.53 | J: 1 | Rec: 1
[HYBRID] Sample 100/1561 | F1: 0.32 | J: 1 | Rec: 0
[HYBRID] Sample 101/1561 | F1: 0.49 | J: 1 | Rec: 1
[HYBRID] Sample 102/1561 | F1: 0.36 | J: 1 | Rec: 1
