Loading weights:   0%|          | 0/393 [00:00<?, ?it/s]Loading weights: 100%|██████████| 393/393 [00:00<00:00, 4147.58it/s]
Loading data from /data2/Medical/ColonMoE/TextMining/ViHERMES/dataset/dataset.jsonl...
Indexing 1550 blocks for BM25...
Starting execution for 1561 samples (Method: bm25)...
[BM25] Sample 83/1561 | F1: 0.41 | J: 1 | Rec: 1
[BM25] Sample 84/1561 | F1: 0.43 | J: 1 | Rec: 1
[BM25] Sample 85/1561 | F1: 0.46 | J: 1 | Rec: 1
[BM25] Sample 86/1561 | F1: 0.49 | J: 1 | Rec: 1
[BM25] Sample 87/1561 | F1: 0.68 | J: 1 | Rec: 1
[BM25] Sample 88/1561 | F1: 0.25 | J: 0 | Rec: 0
[BM25] Sample 89/1561 | F1: 0.19 | J: 1 | Rec: 0
[BM25] Sample 90/1561 | F1: 0.50 | J: 1 | Rec: 0
[BM25] Sample 91/1561 | F1: 0.86 | J: 1 | Rec: 1
[BM25] Sample 92/1561 | F1: 0.37 | J: 1 | Rec: 1
[BM25] Sample 93/1561 | F1: 0.36 | J: 1 | Rec: 1
[BM25] Sample 94/1561 | F1: 0.86 | J: 1 | Rec: 0
[BM25] Sample 95/1561 | F1: 0.47 | J: 1 | Rec: 1
[BM25] Sample 96/1561 | F1: 0.47 | J: 1 | Rec: 1
[BM25] Sample 97/1561 | F1: 0.57 | J: 1 | Rec: 1
[BM25] Sample 98/1561 | F1: 0.37 | J: 1 | Rec: 1
[BM25] Sample 99/1561 | F1: 0.53 | J: 1 | Rec: 1
[BM25] Sample 100/1561 | F1: 0.30 | J: 1 | Rec: 1
[BM25] Sample 101/1561 | F1: 0.24 | J: 1 | Rec: 1
[BM25] Sample 102/1561 | F1: 0.38 | J: 1 | Rec: 1
[BM25] Sample 103/1561 | F1: 0.92 | J: 1 | Rec: 1
[BM25] Sample 104/1561 | F1: 0.11 | J: 1 | Rec: 1
[BM25] Sample 105/1561 | F1: 0.11 | J: 1 | Rec: 1
[BM25] Sample 106/1561 | F1: 0.20 | J: 0 | Rec: 0
[BM25] Sample 107/1561 | F1: 0.52 | J: 1 | Rec: 0
